,Pathogen,Frequency Count,Percent of Total Frequency,Year,Population Group
473,Clostridium bifermentans,1,<0.1,2019,Pediatric
474,Clostridium butyricum,1,<0.1,2019,Pediatric
475,Clostridium fallax,1,<0.1,2019,Pediatric
476,"Clostridium species, not Clostridium perfringens",1,<0.1,2019,Pediatric
477,Clostridium septicum,1,<0.1,2019,Pediatric
478,Clostridium sporogenes,1,<0.1,2019,Pediatric
479,Comamonas testosteroni,1,<0.1,2019,Pediatric
480,Cupriavidus pauculus,1,<0.1,2019,Pediatric
481,Diphtheroids,1,<0.1,2019,Pediatric
482,Eggerthella,1,<0.1,2019,Pediatric
483,Eikenella,1,<0.1,2019,Pediatric
484,Enterobacter asburiae,1,<0.1,2019,Pediatric
485,Enterobacter cancerogenus,1,<0.1,2019,Pediatric
486,Enterobacter hormaechei,1,<0.1,2019,Pediatric
487,Eubacterium,1,<0.1,2019,Pediatric
488,Finegoldia,1,<0.1,2019,Pediatric
489,Fusobacterium necrophorum,1,<0.1,2019,Pediatric
490,"Streptococcus, group D",1,<0.1,2019,Pediatric
491,Gemella sanguinis,1,<0.1,2019,Pediatric
492,"Streptococcus, group G",1,<0.1,2019,Pediatric
493,Gram-positive diplococcus,1,<0.1,2019,Pediatric
494,gamma-hemolytic streptococcus,1,<0.1,2019,Pediatric
495,"Haemophilus parainfluenzae, biotype I",1,<0.1,2019,Pediatric
496,"Haemophilus influenzae, not b",1,<0.1,2019,Pediatric
497,Klebsiella pneumoniae ss. ozaenae,1,<0.1,2019,Pediatric
498,Lactobacillus casei,1,<0.1,2019,Pediatric
499,Lactococcus,1,<0.1,2019,Pediatric
500,Leptotrichia buccalis,1,<0.1,2019,Pediatric
501,Leuconostoc lactis,1,<0.1,2019,Pediatric
502,Leuconostoc mesenteroides,1,<0.1,2019,Pediatric
503,Malassezia,1,<0.1,2019,Pediatric
504,Malassezia furfur,1,<0.1,2019,Pediatric
505,Micrococcus,1,<0.1,2019,Pediatric
506,Micrococcus luteus,1,<0.1,2019,Pediatric
507,Mucor,1,<0.1,2019,Pediatric
508,Mycobacterium canariasense,1,<0.1,2019,Pediatric
509,Mycobacterium chelonae,1,<0.1,2019,Pediatric
510,Neisseria flavescens,1,<0.1,2019,Pediatric
511,Neisseria lactamica,1,<0.1,2019,Pediatric
512,Neisseria polysaccharea,1,<0.1,2019,Pediatric
513,Neisseria subflava,1,<0.1,2019,Pediatric
514,Ochrobactrum anthropi,1,<0.1,2019,Pediatric
515,Paenibacillus,1,<0.1,2019,Pediatric
516,Paracoccus,1,<0.1,2019,Pediatric
517,Parvimonas micra,1,<0.1,2019,Pediatric
518,Parvimonas,1,<0.1,2019,Pediatric
519,Peptoniphilus asaccharolyticus,1,<0.1,2019,Pediatric
520,Peptoniphilus harei,1,<0.1,2019,Pediatric
521,Pseudomonas fluorescens,1,<0.1,2019,Pediatric
522,Prevotella oralis,1,<0.1,2019,Pediatric
523,Peptostreptococcus anaerobius,1,<0.1,2019,Pediatric
524,Pseudozyma,1,<0.1,2019,Pediatric
525,Pseudomonas oryzihabitans,1,<0.1,2019,Pediatric
526,Pseudomonas stutzeri,1,<0.1,2019,Pediatric
527,Raoultella,1,<0.1,2019,Pediatric
528,Rhodotorula glutinis,1,<0.1,2019,Pediatric
529,Rothia,1,<0.1,2019,Pediatric
530,Saprochaete,1,<0.1,2019,Pediatric
531,Salmonella,1,<0.1,2019,Pediatric
532,"Streptococcus, group C",1,<0.1,2019,Pediatric
533,Sphingomonas parapaucimobilis,1,<0.1,2019,Pediatric
534,Sporosarcina,1,<0.1,2019,Pediatric
535,Staphylococcus caprae,1,<0.1,2019,Pediatric
536,Elastase-producing strain Staphylococcus epidermidis,1,<0.1,2019,Pediatric
537,Staphylococcus hominis novobiosepticus,1,<0.1,2019,Pediatric
538,Staphylococcus pettenkoferi,1,<0.1,2019,Pediatric
539,Staphylococcus pseudintermedius,1,<0.1,2019,Pediatric
540,Stenotrophomonas,1,<0.1,2019,Pediatric
541,Streptococcus bovis group,1,<0.1,2019,Pediatric
542,Streptococcus cristatus,1,<0.1,2019,Pediatric
543,Streptomyces,1,<0.1,2019,Pediatric
544,Streptococcus gallolyticus,1,<0.1,2019,Pediatric
545,Streptococcus uberis,1,<0.1,2019,Pediatric
546,Trichosporon,1,<0.1,2019,Pediatric
547,Wangiella dermatitidis,1,<0.1,2019,Pediatric
548,Weissella confusa,1,<0.1,2019,Pediatric
549,Staphylococcus aureus,746,14.36825886,2020,Pediatric
550,Escherichia coli,650,12.519260401,2020,Pediatric
551,Enterococcus faecalis,476,9.167950693,2020,Pediatric
552,Staphylococcus epidermidis,425,8.185670262,2020,Pediatric
553,Pseudomonas aeruginosa,318,6.124807396,2020,Pediatric
554,Klebsiella pneumoniae,266,5.123266564,2020,Pediatric
555,Serratia marcescens,138,2.657935285,2020,Pediatric
556,Enterobacter cloacae complex,124,2.388289676,2020,Pediatric
557,Enterobacter cloacae,115,2.214946071,2020,Pediatric
558,Klebsiella oxytoca,111,2.137904468,2020,Pediatric
559,Candida albicans,108,2.080123267,2020,Pediatric
560,"Staphylococcus, coagulase negative",86,1.656394453,2020,Pediatric
561,Candida parapsilosis,71,1.367488444,2020,Pediatric
562,Streptococcus mitis,71,1.367488444,2020,Pediatric
563,Enterococcus faecium,70,1.348228043,2020,Pediatric
564,"Streptococcus, viridans group",69,1.328967643,2020,Pediatric
565,Streptococcus mitis group,50,0.963020031,2020,Pediatric
566,Klebsiella aerogenes,41,0.789676425,2020,Pediatric
567,Stenotrophomonas maltophilia,39,0.751155624,2020,Pediatric
568,Klebsiella pneumoniae ss. pneumoniae,37,0.712634823,2020,Pediatric
569,Group B streptococcus,34,0.654853621,2020,Pediatric
570,Proteus mirabilis,31,0.597072419,2020,Pediatric
571,Bacteroides fragilis,30,0.577812018,2020,Pediatric
572,Granulicatella adiacens,30,0.577812018,2020,Pediatric
573,Candida glabrata,28,0.539291217,2020,Pediatric
574,Citrobacter freundii,26,0.500770416,2020,Pediatric
575,Candida tropicalis,25,0.481510015,2020,Pediatric
576,Genus Enterococcus,25,0.481510015,2020,Pediatric
577,Lactobacillus,24,0.462249615,2020,Pediatric
578,Rothia mucilaginosa,21,0.404468413,2020,Pediatric
579,Acinetobacter,19,0.365947612,2020,Pediatric
580,Enterococcus gallinarum,19,0.365947612,2020,Pediatric
581,Gram-positive coccus,19,0.365947612,2020,Pediatric
582,Staphylococcus hominis,19,0.365947612,2020,Pediatric
583,Klebsiella,18,0.346687211,2020,Pediatric
584,Acinetobacter baumannii,17,0.32742681,2020,Pediatric
585,Candida lusitaniae,17,0.32742681,2020,Pediatric
586,Staphylococcus haemolyticus,17,0.32742681,2020,Pediatric
587,Citrobacter koseri,16,0.30816641,2020,Pediatric
588,Enterobacter,16,0.30816641,2020,Pediatric
589,Streptococcus anginosus,16,0.30816641,2020,Pediatric
590,Clostridium tertium,15,0.288906009,2020,Pediatric
591,Streptococcus pneumoniae,15,0.288906009,2020,Pediatric
592,Streptococcus anginosus group,15,0.288906009,2020,Pediatric
593,Bacteroides thetaiotaomicron,14,0.269645609,2020,Pediatric
594,Cutibacterium acnes,14,0.269645609,2020,Pediatric
595,Staphylococcus capitis,14,0.269645609,2020,Pediatric
596,Streptococcus oralis,14,0.269645609,2020,Pediatric
597,Candida krusei,12,0.231124807,2020,Pediatric
598,Yeast,12,0.231124807,2020,Pediatric
599,Gram-negative bacillus,11,0.211864407,2020,Pediatric
600,Streptococcus constellatus,11,0.211864407,2020,Pediatric
601,Enterococcus avium,10,0.192604006,2020,Pediatric
602,Staphylococcus,10,0.192604006,2020,Pediatric
603,Bacteroides fragilis group,9,0.173343606,2020,Pediatric
604,Klebsiella variicola,9,0.173343606,2020,Pediatric
605,Morganella morganii,9,0.173343606,2020,Pediatric
606,Pantoea,9,0.173343606,2020,Pediatric
607,Bacillus cereus,8,0.154083205,2020,Pediatric
608,Gemella haemolysans,8,0.154083205,2020,Pediatric
609,Staphylococcus lugdunensis,8,0.154083205,2020,Pediatric
610,Candida guilliermondii,7,0.134822804,2020,Pediatric
611,Leptotrichia,7,0.134822804,2020,Pediatric
612,Streptococcus salivarius,7,0.134822804,2020,Pediatric
613,Streptococcus intermedius,7,0.134822804,2020,Pediatric
614,Bacillus,6,0.115562404,2020,Pediatric
615,Candida dubliniensis,6,0.115562404,2020,Pediatric
616,Clostridium innocuum,6,0.115562404,2020,Pediatric
617,Diphtheroids,6,0.115562404,2020,Pediatric
618,Enterobacter hormaechei,6,0.115562404,2020,Pediatric
619,Gemella,6,0.115562404,2020,Pediatric
620,Pseudomonas stutzeri,6,0.115562404,2020,Pediatric
621,Rothia,6,0.115562404,2020,Pediatric
622,Staphylococcus warneri,6,0.115562404,2020,Pediatric
623,Streptococcus,6,0.115562404,2020,Pediatric
624,Acinetobacter calcoaceticus-Acinetobacter baumannii complex,5,0.096302003,2020,Pediatric
625,Bacteroides,5,0.096302003,2020,Pediatric
626,Candida parapsilosis complex,5,0.096302003,2020,Pediatric
627,Capnocytophaga,5,0.096302003,2020,Pediatric
628,Capnocytophaga sputigena,5,0.096302003,2020,Pediatric
629,Clostridium,5,0.096302003,2020,Pediatric
630,Citrobacter,5,0.096302003,2020,Pediatric
631,Pluralibacter gergoviae,5,0.096302003,2020,Pediatric
632,Neisseria,5,0.096302003,2020,Pediatric
633,Streptococcus salivarius group,5,0.096302003,2020,Pediatric
634,Streptococcus sanguinis,5,0.096302003,2020,Pediatric
635,Anaerobe,4,0.077041602,2020,Pediatric
636,Candida,4,0.077041602,2020,Pediatric
637,Clostridioides difficile,4,0.077041602,2020,Pediatric
638,Corynebacterium jeikeium,4,0.077041602,2020,Pediatric
639,Corynebacterium striatum,4,0.077041602,2020,Pediatric
640,Eikenella corrodens,4,0.077041602,2020,Pediatric
641,Enterococcus casseliflavus,4,0.077041602,2020,Pediatric
642,Streptococcus pyogenes,4,0.077041602,2020,Pediatric
643,"Streptococcus, group F",4,0.077041602,2020,Pediatric
644,Gram-positive bacillus,4,0.077041602,2020,Pediatric
645,Lactobacillus rhamnosus,4,0.077041602,2020,Pediatric
646,Micrococcus luteus,4,0.077041602,2020,Pediatric
647,Prevotella,4,0.077041602,2020,Pediatric
648,Pseudomonas,4,0.077041602,2020,Pediatric
649,Rhizobium radiobacter,4,0.077041602,2020,Pediatric
650,Saccharomyces cerevisiae,4,0.077041602,2020,Pediatric
651,Serratia,4,0.077041602,2020,Pediatric
652,Acinetobacter radioresistens,3,0.0577812,2020,Pediatric
653,Acinetobacter ursingii,3,0.0577812,2020,Pediatric
654,Actinomyces odontolyticus,3,0.0577812,2020,Pediatric
655,Parabacteroides distasonis,3,0.0577812,2020,Pediatric
656,Bifidobacterium,3,0.0577812,2020,Pediatric
657,Beta-hemolytic streptococcus,3,0.0577812,2020,Pediatric
658,Citrobacter braakii,3,0.0577812,2020,Pediatric
659,Clostridium clostridioforme,3,0.0577812,2020,Pediatric
660,Clostridium septicum,3,0.0577812,2020,Pediatric
661,Corynebacterium,3,0.0577812,2020,Pediatric
662,Enterococcus durans,3,0.0577812,2020,Pediatric
663,Escherichia,3,0.0577812,2020,Pediatric
664,Fusobacterium nucleatum,3,0.0577812,2020,Pediatric
665,Haemophilus influenzae,3,0.0577812,2020,Pediatric
666,Haemophilus parainfluenzae,3,0.0577812,2020,Pediatric
667,Lactococcus lactis,3,0.0577812,2020,Pediatric
668,Neisseria flavescens,3,0.0577812,2020,Pediatric
669,Pantoea agglomerans,3,0.0577812,2020,Pediatric
670,Pseudomonas putida,3,0.0577812,2020,Pediatric
671,Raoultella ornithinolytica,3,0.0577812,2020,Pediatric
672,Staphylococcus hominis hominis,3,0.0577812,2020,Pediatric
673,Streptococcus dysgalactiae,3,0.0577812,2020,Pediatric
674,Abiotrophia,2,<0.1,2020,Pediatric
675,Achromobacter denitrificans,2,<0.1,2020,Pediatric
676,Acinetobacter lwoffi,2,<0.1,2020,Pediatric
677,Actinomyces neuii,2,<0.1,2020,Pediatric
678,Achromobacter xylosoxidans,2,<0.1,2020,Pediatric
679,Alpha-hemolytic streptococcus,2,<0.1,2020,Pediatric
680,Bacillus species not Bacillus anthracis,2,<0.1,2020,Pediatric
681,Bacteroides ovatus,2,<0.1,2020,Pediatric
682,Burkholderia cepacia,2,<0.1,2020,Pediatric
683,Candida guilliermondii var membranaefaciens,2,<0.1,2020,Pediatric
684,Chryseobacterium gleum,2,<0.1,2020,Pediatric
685,Chryseobacterium,2,<0.1,2020,Pediatric
686,Citrobacter amalonaticus,2,<0.1,2020,Pediatric
687,Clostridium ramosum,2,<0.1,2020,Pediatric
688,Enterobacteriaceae,2,<0.1,2020,Pediatric
689,Enterococcus raffinosus,2,<0.1,2020,Pediatric
690,Eggerthella lenta,2,<0.1,2020,Pediatric
691,Fusarium,2,<0.1,2020,Pediatric
692,Fusarium proliferatum,2,<0.1,2020,Pediatric
693,Fusobacterium nucleatum ss nucleatum,2,<0.1,2020,Pediatric
694,Granulicatella,2,<0.1,2020,Pediatric
695,Hafnia alvei,2,<0.1,2020,Pediatric
696,Kocuria,2,<0.1,2020,Pediatric
697,Leuconostoc mesenteroides,2,<0.1,2020,Pediatric
698,Moraxella catarrhalis,2,<0.1,2020,Pediatric
699,Moraxella nonliquefaciens,2,<0.1,2020,Pediatric
700,Moraxella,2,<0.1,2020,Pediatric
701,Mycobacterium,2,<0.1,2020,Pediatric
702,Neisseria sicca,2,<0.1,2020,Pediatric
703,Neisseria subflava,2,<0.1,2020,Pediatric
704,Prevotella bivia,2,<0.1,2020,Pediatric
705,Peptostreptococcus,2,<0.1,2020,Pediatric
706,Proteus vulgaris,2,<0.1,2020,Pediatric
707,Raoultella planticola,2,<0.1,2020,Pediatric
708,Roseomonas,2,<0.1,2020,Pediatric
709,Rothia dentocariosa,2,<0.1,2020,Pediatric
710,Serratia liquefaciens,2,<0.1,2020,Pediatric
711,Sphingomonas paucimobilis,2,<0.1,2020,Pediatric
712,Sphingomonas,2,<0.1,2020,Pediatric
713,Staphylococcus saprophyticus,2,<0.1,2020,Pediatric
714,"Beta-hemolytic Streptococcus, group A",2,<0.1,2020,Pediatric
715,Abiotrophia defectiva,2,<0.1,2020,Pediatric
716,Streptococcus parasanguinis,2,<0.1,2020,Pediatric
717,Trichosporon asahii,2,<0.1,2020,Pediatric
718,Trichosporon,2,<0.1,2020,Pediatric
719,Veillonella parvula,2,<0.1,2020,Pediatric
720,Achromobacter xylosoxidans xylosoxidans,1,<0.1,2020,Pediatric
721,Acinetobacter calcoaceticus,1,<0.1,2020,Pediatric
722,Acremonium,1,<0.1,2020,Pediatric
723,Actinomyces urogenitalis,1,<0.1,2020,Pediatric
724,Aerobic bacteria,1,<0.1,2020,Pediatric
725,Aeromonas,1,<0.1,2020,Pediatric
726,Acid-fast bacillus,1,<0.1,2020,Pediatric
727,Aggregatibacter segnis,1,<0.1,2020,Pediatric
728,Anaerobic Gram-negative bacillus,1,<0.1,2020,Pediatric
729,Anaerobic Gram-positive bacillus,1,<0.1,2020,Pediatric
730,Anaerococcus prevotii,1,<0.1,2020,Pediatric
731,Alpha-hemolytic Streptococcus species not Streptococcus pneumoniae,1,<0.1,2020,Pediatric
732,Aspergillus fumigatus,1,<0.1,2020,Pediatric
733,Aspergillus niger,1,<0.1,2020,Pediatric
734,Aspergillus,1,<0.1,2020,Pediatric
735,Aureimonas,1,<0.1,2020,Pediatric
736,Bacteroides caccae,1,<0.1,2020,Pediatric
737,Bacillus cereus group,1,<0.1,2020,Pediatric
738,Bilophila wadsworthia,1,<0.1,2020,Pediatric
739,Brevundimonas diminuta,1,<0.1,2020,Pediatric
740,Burkholderia cepacia complex,1,<0.1,2020,Pediatric
741,Candida famata,1,<0.1,2020,Pediatric
742,Candida kefyr,1,<0.1,2020,Pediatric
743,Candida metapsilosis,1,<0.1,2020,Pediatric
744,Candida stellatoidea,1,<0.1,2020,Pediatric
745,Capnocytophaga gingivalis,1,<0.1,2020,Pediatric
746,Chryseomonas luteola,1,<0.1,2020,Pediatric
747,Citrobacter farmeri,1,<0.1,2020,Pediatric
748,Citrobacter youngae,1,<0.1,2020,Pediatric
749,Cladosporium,1,<0.1,2020,Pediatric
750,Clostridium hathewayi,1,<0.1,2020,Pediatric
751,Clostridium hastiforme,1,<0.1,2020,Pediatric
752,"Clostridium species, not Clostridium perfringens",1,<0.1,2020,Pediatric
753,Clostridium sporogenes,1,<0.1,2020,Pediatric
754,Genus Clostridioides,1,<0.1,2020,Pediatric
755,Clostridium perfringens,1,<0.1,2020,Pediatric
756,Corynebacterium accolens,1,<0.1,2020,Pediatric
757,Corynebacterium glucuronolyticum,1,<0.1,2020,Pediatric
758,Coliform bacteria,1,<0.1,2020,Pediatric
759,Dietzia,1,<0.1,2020,Pediatric
760,Aerobic diphtheroids,1,<0.1,2020,Pediatric
761,Elizabethkingia meningoseptica,1,<0.1,2020,Pediatric
762,Enterobacter asburiae,1,<0.1,2020,Pediatric
763,Enterobacter cancerogenus,1,<0.1,2020,Pediatric
764,Enterobacter cloacae subspecies dissolvens,1,<0.1,2020,Pediatric
765,Enterococcus mundtii,1,<0.1,2020,Pediatric
766,Escherichia hermannii,1,<0.1,2020,Pediatric
767,Exophiala,1,<0.1,2020,Pediatric
768,Facklamia,1,<0.1,2020,Pediatric
769,Finegoldia magna,1,<0.1,2020,Pediatric
770,Flavonifractor plautii,1,<0.1,2020,Pediatric
771,Fusobacterium,1,<0.1,2020,Pediatric
772,Fusobacterium nucleatum ss fusiforme,1,<0.1,2020,Pediatric
773,Gemella morbillorum,1,<0.1,2020,Pediatric
774,Gemella sanguinis,1,<0.1,2020,Pediatric
775,Geotrichum,1,<0.1,2020,Pediatric
776,"Streptococcus, group G",1,<0.1,2020,Pediatric
777,Gram-negative coccus,1,<0.1,2020,Pediatric
778,Non-fermentative Gram-negative bacillus,1,<0.1,2020,Pediatric
779,Gordonia sputi,1,<0.1,2020,Pediatric
780,gamma-hemolytic streptococcus,1,<0.1,2020,Pediatric
781,Gram-variable bacillus,1,<0.1,2020,Pediatric
782,Haemophilus haemolyticus,1,<0.1,2020,Pediatric
783,Hafnia,1,<0.1,2020,Pediatric
784,Human herpes simplex virus,1,<0.1,2020,Pediatric
785,Klebsiella pneumoniae ss. ozaenae,1,<0.1,2020,Pediatric
786,Kluyvera intermedia,1,<0.1,2020,Pediatric
787,Lactobacillus casei,1,<0.1,2020,Pediatric
788,Lactobacillus gasseri,1,<0.1,2020,Pediatric
789,Lactococcus,1,<0.1,2020,Pediatric
790,Leptotrichia trevisanii,1,<0.1,2020,Pediatric
791,Leuconostoc,1,<0.1,2020,Pediatric
792,Lodderomyces elongisporus,1,<0.1,2020,Pediatric
793,Malassezia,1,<0.1,2020,Pediatric
794,Malassezia furfur,1,<0.1,2020,Pediatric
795,Malassezia pachydermatis,1,<0.1,2020,Pediatric
796,Massilia,1,<0.1,2020,Pediatric
797,Micrococcus,1,<0.1,2020,Pediatric
798,Moraxella osloensis,1,<0.1,2020,Pediatric
799,"Mycobacterium, avium-intracellulare group",1,<0.1,2020,Pediatric
800,Mycobacterium simiae,1,<0.1,2020,Pediatric
801,Neisseria elongata,1,<0.1,2020,Pediatric
802,Ochrobactrum anthropi,1,<0.1,2020,Pediatric
803,Paracoccus yeei,1,<0.1,2020,Pediatric
804,Peptoniphilus asaccharolyticus,1,<0.1,2020,Pediatric
805,Peptoniphilus,1,<0.1,2020,Pediatric
806,Pseudomonas fluorescens,1,<0.1,2020,Pediatric
807,Pichia kudriavzevii,1,<0.1,2020,Pediatric
808,Prevotella buccae,1,<0.1,2020,Pediatric
809,Prevotella buccalis,1,<0.1,2020,Pediatric
810,Prevotella denticola,1,<0.1,2020,Pediatric
811,Prevotella loescheii,1,<0.1,2020,Pediatric
812,Prevotella melaninogenica,1,<0.1,2020,Pediatric
813,Propionibacterium,1,<0.1,2020,Pediatric
814,Providencia stuartii,1,<0.1,2020,Pediatric
815,Pseudomonas oryzihabitans,1,<0.1,2020,Pediatric
816,Proteus,1,<0.1,2020,Pediatric
817,Rahnella aquatilis,1,<0.1,2020,Pediatric
818,Raoultella terrigena,1,<0.1,2020,Pediatric
819,Rhodotorula,1,<0.1,2020,Pediatric
820,Rhodotorula rubra,1,<0.1,2020,Pediatric
821,Saprochaete,1,<0.1,2020,Pediatric
822,Scedosporium apiospermum,1,<0.1,2020,Pediatric
823,"Beta-hemolytic streptococcus, non-Group A, non-Group B",1,<0.1,2020,Pediatric
824,Staphylococcus caprae,1,<0.1,2020,Pediatric
825,Staphylococcus delphini,1,<0.1,2020,Pediatric
826,Staphylococcus intermedius,1,<0.1,2020,Pediatric
827,Staphylococcus pettenkoferi,1,<0.1,2020,Pediatric
828,Staphylococcus simulans,1,<0.1,2020,Pediatric
829,Small-colony-forming beta-hemolytic group G streptococci,1,<0.1,2020,Pediatric
830,Streptococcus bovis group,1,<0.1,2020,Pediatric
831,Streptococcus dysgalactiae subsp. dysgalactiae,1,<0.1,2020,Pediatric
832,Streptococcus pseudoporcinus,1,<0.1,2020,Pediatric
833,Streptococcus vestibularis,1,<0.1,2020,Pediatric
834,Streptococcus gordonii,1,<0.1,2020,Pediatric
835,Tsukamurella paurometabola,1,<0.1,2020,Pediatric
836,Tsukamurella,1,<0.1,2020,Pediatric
837,Veillonella,1,<0.1,2020,Pediatric
838,Staphylococcus aureus,907,15.931846127,2021,Pediatric
839,Escherichia coli,690,12.12014755,2021,Pediatric
840,Enterococcus faecalis,545,9.573160021,2021,Pediatric
841,Staphylococcus epidermidis,499,8.765150184,2021,Pediatric
842,Pseudomonas aeruginosa,358,6.288424381,2021,Pediatric
843,Klebsiella pneumoniae,304,5.339891094,2021,Pediatric
844,Candida albicans,143,2.511856666,2021,Pediatric
845,Enterobacter cloacae complex,131,2.301071491,2021,Pediatric
846,Serratia marcescens,130,2.28350606,2021,Pediatric
847,Klebsiella oxytoca,120,2.107851748,2021,Pediatric
848,"Staphylococcus, coagulase negative",99,1.738977692,2021,Pediatric
849,Enterococcus faecium,98,1.721412261,2021,Pediatric
850,Enterobacter cloacae,86,1.510627086,2021,Pediatric
851,Candida parapsilosis,83,1.457930792,2021,Pediatric
852,"Streptococcus, viridans group",70,1.229580186,2021,Pediatric
853,Streptococcus mitis,61,1.071491305,2021,Pediatric
854,Klebsiella aerogenes,51,0.895836993,2021,Pediatric
855,Streptococcus mitis group,50,0.878271562,2021,Pediatric
856,Stenotrophomonas maltophilia,45,0.790444405,2021,Pediatric
857,Proteus mirabilis,40,0.702617249,2021,Pediatric
858,Group B streptococcus,38,0.667486387,2021,Pediatric
859,Citrobacter freundii,32,0.562093799,2021,Pediatric
860,Candida tropicalis,32,0.562093799,2021,Pediatric
861,Genus Enterococcus,27,0.474266643,2021,Pediatric
862,Granulicatella adiacens,27,0.474266643,2021,Pediatric
863,Bacteroides fragilis,26,0.456701212,2021,Pediatric
864,Klebsiella pneumoniae ss. pneumoniae,24,0.42157035,2021,Pediatric
865,Staphylococcus hominis,24,0.42157035,2021,Pediatric
866,Candida lusitaniae,22,0.386439487,2021,Pediatric
867,Lactobacillus,21,0.368874056,2021,Pediatric
868,Rothia mucilaginosa,21,0.368874056,2021,Pediatric
869,Staphylococcus haemolyticus,21,0.368874056,2021,Pediatric
870,Bacteroides thetaiotaomicron,18,0.316177762,2021,Pediatric
871,Candida glabrata,18,0.316177762,2021,Pediatric
872,Enterococcus gallinarum,18,0.316177762,2021,Pediatric
873,Cutibacterium acnes,18,0.316177762,2021,Pediatric
874,Streptococcus oralis,17,0.298612331,2021,Pediatric
875,Streptococcus constellatus,17,0.298612331,2021,Pediatric
876,Candida krusei,16,0.2810469,2021,Pediatric
877,Morganella morganii,16,0.2810469,2021,Pediatric
878,Streptococcus anginosus,16,0.2810469,2021,Pediatric
879,Acinetobacter baumannii,15,0.263481468,2021,Pediatric
880,Streptococcus anginosus group,15,0.263481468,2021,Pediatric
881,Bacteroides fragilis group,14,0.245916037,2021,Pediatric
882,Enterococcus avium,14,0.245916037,2021,Pediatric
883,Yeast,14,0.245916037,2021,Pediatric
884,Clostridium tertium,13,0.228350606,2021,Pediatric
885,Gram-positive coccus,13,0.228350606,2021,Pediatric
886,Klebsiella variicola,12,0.210785175,2021,Pediatric
887,Prevotella,11,0.193219744,2021,Pediatric
888,Staphylococcus capitis,11,0.193219744,2021,Pediatric
889,Streptococcus,11,0.193219744,2021,Pediatric
890,Candida dubliniensis,10,0.175654312,2021,Pediatric
891,Streptococcus pneumoniae,10,0.175654312,2021,Pediatric
892,Bacillus,9,0.158088881,2021,Pediatric
893,Bacteroides ovatus,9,0.158088881,2021,Pediatric
894,Candida parapsilosis complex,9,0.158088881,2021,Pediatric
895,Enterobacter,9,0.158088881,2021,Pediatric
896,Klebsiella,9,0.158088881,2021,Pediatric
897,Pseudomonas,9,0.158088881,2021,Pediatric
898,Acinetobacter,8,0.14052345,2021,Pediatric
899,Gemella haemolysans,8,0.14052345,2021,Pediatric
900,Bacillus cereus,7,0.122958019,2021,Pediatric
901,Citrobacter koseri,7,0.122958019,2021,Pediatric
902,Gram-negative bacillus,7,0.122958019,2021,Pediatric
903,Moraxella nonliquefaciens,7,0.122958019,2021,Pediatric
904,Capnocytophaga,6,0.105392587,2021,Pediatric
905,"Streptococcus, group F",6,0.105392587,2021,Pediatric
906,Leptotrichia,6,0.105392587,2021,Pediatric
907,Leuconostoc,6,0.105392587,2021,Pediatric
908,Staphylococcus lugdunensis,6,0.105392587,2021,Pediatric
909,Staphylococcus warneri,6,0.105392587,2021,Pediatric
910,Abiotrophia defectiva,6,0.105392587,2021,Pediatric
911,Streptococcus sanguinis,6,0.105392587,2021,Pediatric
912,Acinetobacter calcoaceticus-Acinetobacter baumannii complex,5,0.087827156,2021,Pediatric
913,Corynebacterium striatum,5,0.087827156,2021,Pediatric
914,Pluralibacter gergoviae,5,0.087827156,2021,Pediatric
915,Eggerthella lenta,5,0.087827156,2021,Pediatric
916,Gemella,5,0.087827156,2021,Pediatric
917,Micrococcus luteus,5,0.087827156,2021,Pediatric
918,Staphylococcus,5,0.087827156,2021,Pediatric
919,Streptococcus intermedius,5,0.087827156,2021,Pediatric
920,Alpha-hemolytic streptococcus,4,0.070261725,2021,Pediatric
921,Beta-hemolytic streptococcus,4,0.070261725,2021,Pediatric
922,Candida guilliermondii,4,0.070261725,2021,Pediatric
923,Candida orthopsilosis,4,0.070261725,2021,Pediatric
924,Citrobacter amalonaticus,4,0.070261725,2021,Pediatric
925,Clostridium,4,0.070261725,2021,Pediatric
926,Corynebacterium,4,0.070261725,2021,Pediatric
927,Enterobacteriaceae,4,0.070261725,2021,Pediatric
928,Enterococcus durans,4,0.070261725,2021,Pediatric
929,Fusobacterium nucleatum,4,0.070261725,2021,Pediatric
930,Gram-positive bacillus,4,0.070261725,2021,Pediatric
931,Haemophilus influenzae,4,0.070261725,2021,Pediatric
932,Haemophilus parainfluenzae,4,0.070261725,2021,Pediatric
933,Mycobacterium fortuitum,4,0.070261725,2021,Pediatric
934,Neisseria,4,0.070261725,2021,Pediatric
935,Pantoea agglomerans,4,0.070261725,2021,Pediatric
936,Pseudomonas putida,4,0.070261725,2021,Pediatric
937,Rothia,4,0.070261725,2021,Pediatric
938,Serratia liquefaciens,4,0.070261725,2021,Pediatric
939,Trichosporon asahii,4,0.070261725,2021,Pediatric
940,Actinomyces,3,0.0526963,2021,Pediatric
941,Achromobacter xylosoxidans,3,0.0526963,2021,Pediatric
942,Anaerococcus vaginalis,3,0.0526963,2021,Pediatric
943,Bacillus species not Bacillus anthracis,3,0.0526963,2021,Pediatric
944,Bifidobacterium,3,0.0526963,2021,Pediatric
945,Burkholderia cepacia,3,0.0526963,2021,Pediatric
