,Pathogen,Frequency Count,Percent of Total Frequency,Year,Population Group
505,Weissella,2,<0.1,2018,Adult
506,Yersinia enterocolitica,2,<0.1,2018,Adult
507,Acholeplasma laidlawii,1,<0.1,2018,Adult
508,Achromobacter piechaudii,1,<0.1,2018,Adult
509,Achromobacter ruhlandii,1,<0.1,2018,Adult
510,Actinobaculum schaalii,1,<0.1,2018,Adult
511,Aeromonas hydrophila complex,1,<0.1,2018,Adult
512,Aeromonas veronii biovar veronii,1,<0.1,2018,Adult
513,Aeromonas veronii,1,<0.1,2018,Adult
514,Aspergillus flavus,1,<0.1,2018,Adult
515,Alistipes,1,<0.1,2018,Adult
516,Alloiococcus otitis,1,<0.1,2018,Adult
517,Alternaria.,1,<0.1,2018,Adult
518,Alternaria infectoria,1,<0.1,2018,Adult
519,Alcaligenes xylosoxidans ss. xylosoxidans,1,<0.1,2018,Adult
520,Anaerobic Gram negative coccobacillus,1,<0.1,2018,Adult
521,Anaerobic Gram positive coccobacillus,1,<0.1,2018,Adult
522,Anaerococcus octavius,1,<0.1,2018,Adult
523,Anaerococcus tetradius,1,<0.1,2018,Adult
524,Aneurinibacillus,1,<0.1,2018,Adult
525,Arthrographis,1,<0.1,2018,Adult
526,Arthrobacter,1,<0.1,2018,Adult
527,Arthrobacter woluwensis,1,<0.1,2018,Adult
528,Aspergillus sydowii,1,<0.1,2018,Adult
529,Atopobium minutum,1,<0.1,2018,Adult
530,Atopobium parvulum,1,<0.1,2018,Adult
531,Aureobasidium,1,<0.1,2018,Adult
532,Bacillus anthracis,1,<0.1,2018,Adult
533,Babesia microti,1,<0.1,2018,Adult
534,Bacillus circulans,1,<0.1,2018,Adult
535,Bacteroides nordii,1,<0.1,2018,Adult
536,Bacteroides tectum,1,<0.1,2018,Adult
537,Bartonella,1,<0.1,2018,Adult
538,Bipolaris,1,<0.1,2018,Adult
539,Bordetella trematum,1,<0.1,2018,Adult
540,Brevundimonas diminuta,1,<0.1,2018,Adult
541,Brevundimonas vesicularis,1,<0.1,2018,Adult
542,Brevibacillus,1,<0.1,2018,Adult
543,Bacillus subtilis spizizenii,1,<0.1,2018,Adult
544,Bulleidia,1,<0.1,2018,Adult
545,Burkholderia cenocepacia,1,<0.1,2018,Adult
546,Burkholderia multivorans,1,<0.1,2018,Adult
547,Campylobacter,1,<0.1,2018,Adult
548,Candida intermedia,1,<0.1,2018,Adult
549,Candida rugosa,1,<0.1,2018,Adult
550,Capnocytophaga haemolytica,1,<0.1,2018,Adult
551,Capnocytophaga ochracea,1,<0.1,2018,Adult
552,Cedecea neteri,1,<0.1,2018,Adult
553,Cedecea,1,<0.1,2018,Adult
554,Chryseobacterium gleum,1,<0.1,2018,Adult
555,Chryseomonas,1,<0.1,2018,Adult
556,Citrobacter gillenii,1,<0.1,2018,Adult
557,Citrobacter murliniae,1,<0.1,2018,Adult
558,Clostridium bolteae,1,<0.1,2018,Adult
559,Clostridium disporicum,1,<0.1,2018,Adult
560,Clostridium fallax,1,<0.1,2018,Adult
561,Clostridium histolyticum,1,<0.1,2018,Adult
562,Clostridium hastiforme,1,<0.1,2018,Adult
563,Clostridium indolis,1,<0.1,2018,Adult
564,Clostridium sardiniense,1,<0.1,2018,Adult
565,Clostridium tetani,1,<0.1,2018,Adult
566,Corynebacterium afermentans,1,<0.1,2018,Adult
567,Corynebacterium coyleae,1,<0.1,2018,Adult
568,Corynebacterium kroppenstedtii,1,<0.1,2018,Adult
569,Corynebacterium macginleyi,1,<0.1,2018,Adult
570,Corynebacterium sphenisci,1,<0.1,2018,Adult
571,Corynebacterium spheniscorum,1,<0.1,2018,Adult
572,Coronavirus,1,<0.1,2018,Adult
573,Corynebacterium ulcerans,1,<0.1,2018,Adult
574,Cryptobacterium,1,<0.1,2018,Adult
575,Cryptosporidium,1,<0.1,2018,Adult
576,Dermacoccus nishinomiyaensis,1,<0.1,2018,Adult
577,Dolosigranulum pigrum,1,<0.1,2018,Adult
578,Dysgonomonas capnocytophagoides,1,<0.1,2018,Adult
579,Dysgonomonas,1,<0.1,2018,Adult
580,"EHEC, serotype O157:H7",1,<0.1,2018,Adult
581,Enterobacter amnigenus Bbiogroup  I,1,<0.1,2018,Adult
582,Enterococcus canis,1,<0.1,2018,Adult
583,Enterococcus cecorum,1,<0.1,2018,Adult
584,Enterobacter cowanii,1,<0.1,2018,Adult
585,Enterococcus pallens,1,<0.1,2018,Adult
586,Enterococcus saccharolyticus,1,<0.1,2018,Adult
587,Genus Enterovirus,1,<0.1,2018,Adult
588,Escherichia blattae,1,<0.1,2018,Adult
589,Escherichia vulneris,1,<0.1,2018,Adult
590,Eubacterium saphenum,1,<0.1,2018,Adult
591,Exophiala,1,<0.1,2018,Adult
592,Exophiala werneckii,1,<0.1,2018,Adult
593,Facklamia,1,<0.1,2018,Adult
594,Flavonifractor,1,<0.1,2018,Adult
595,Fusobacterium canifelinum,1,<0.1,2018,Adult
596,Geobacillus,1,<0.1,2018,Adult
597,Geotrichum,1,<0.1,2018,Adult
598,Gram-negative coccobacillus,1,<0.1,2018,Adult
599,Gram-negative pleomorphic bacillus,1,<0.1,2018,Adult
600,Gordonia bronchialis,1,<0.1,2018,Adult
601,Gordonia,1,<0.1,2018,Adult
602,Gordonia sputi,1,<0.1,2018,Adult
603,Gram-variable coccus,1,<0.1,2018,Adult
604,Aggregatibacter actinomycetemcomitans,1,<0.1,2018,Adult
605,Haemophilus paraphrophilus,1,<0.1,2018,Adult
606,"Haemophilus parainfluenzae, biotype II",1,<0.1,2018,Adult
607,Haemophilus parahaemolyticus,1,<0.1,2018,Adult
608,Helcococcus,1,<0.1,2018,Adult
609,Herbaspirillum,1,<0.1,2018,Adult
610,Kluyvera,1,<0.1,2018,Adult
611,Kocuria rosea,1,<0.1,2018,Adult
612,Kocuria,1,<0.1,2018,Adult
613,Kocuria varians,1,<0.1,2018,Adult
614,Kodamaea,1,<0.1,2018,Adult
615,Eggerthia catenaformis,1,<0.1,2018,Adult
616,Lactobacillus iners,1,<0.1,2018,Adult
617,Lactobacillus jensenii,1,<0.1,2018,Adult
618,Lactobacillus reuteri,1,<0.1,2018,Adult
619,Leclercia,1,<0.1,2018,Adult
620,Leuconostoc mesenteroides,1,<0.1,2018,Adult
621,Legionella pneumophila,1,<0.1,2018,Adult
622,Malassezia pachydermatis,1,<0.1,2018,Adult
623,Mobiluncus,1,<0.1,2018,Adult
624,Moellerella wisconsensis,1,<0.1,2018,Adult
625,Moraxella atlantae,1,<0.1,2018,Adult
626,Moraxella canis,1,<0.1,2018,Adult
627,Mycoplasma pneumoniae,1,<0.1,2018,Adult
628,Myroides,1,<0.1,2018,Adult
629,Mycobacterium abscessus subspecies bolletii,1,<0.1,2018,Adult
630,Mycobacterium flavescens,1,<0.1,2018,Adult
631,Mycobacterium gordonae,1,<0.1,2018,Adult
632,Mycobacterium kansasii,1,<0.1,2018,Adult
633,Mycobacterium margeritense,1,<0.1,2018,Adult
634,Mycobacterium peregrinum,1,<0.1,2018,Adult
635,Mycobacterium senegalense,1,<0.1,2018,Adult
636,Mycobacterium septicum,1,<0.1,2018,Adult
637,Mycobacterium avium,1,<0.1,2018,Adult
638,Neisseria cinerea,1,<0.1,2018,Adult
639,Neisseria flavescens,1,<0.1,2018,Adult
640,Nocardia asteroides,1,<0.1,2018,Adult
641,Nocardia farcinica,1,<0.1,2018,Adult
642,Nocardia nova,1,<0.1,2018,Adult
643,Obesumbacterium proteus,1,<0.1,2018,Adult
644,Ochrobactrum intermedium,1,<0.1,2018,Adult
645,Oligella ureolytica,1,<0.1,2018,Adult
646,Oligella urethralis,1,<0.1,2018,Adult
647,Pantoea dispersa,1,<0.1,2018,Adult
648,Pandoraea,1,<0.1,2018,Adult
649,Parabacteroides goldsteinii,1,<0.1,2018,Adult
650,Pasteurella multocida ss. multocida,1,<0.1,2018,Adult
651,Peptococcus niger,1,<0.1,2018,Adult
652,Pithomyces,1,<0.1,2018,Adult
653,Porphyromonas asaccharolyticus,1,<0.1,2018,Adult
654,Prototheca,1,<0.1,2018,Adult
655,Propionibacterium australiense,1,<0.1,2018,Adult
656,Propionibacterium propionicum,1,<0.1,2018,Adult
657,Proteus myxofaciens,1,<0.1,2018,Adult
658,Providencia alcalifaciens,1,<0.1,2018,Adult
659,Providencia rustigianii,1,<0.1,2018,Adult
660,Pseudallescheria boydii,1,<0.1,2018,Adult
661,Pseudomonas chlororaphis,1,<0.1,2018,Adult
662,Pseudomonas pseudoalcaligenes,1,<0.1,2018,Adult
663,Ralstonia mannitolilytica,1,<0.1,2018,Adult
664,Ralstonia paucula,1,<0.1,2018,Adult
665,Ralstonia picketti,1,<0.1,2018,Adult
666,Ralstonia,1,<0.1,2018,Adult
667,Rapid growing mycobacteria,1,<0.1,2018,Adult
668,Human rhinovirus,1,<0.1,2018,Adult
669,Rhodococcus equi,1,<0.1,2018,Adult
670,Saccharomyces,1,<0.1,2018,Adult
671,Saccharomonospora,1,<0.1,2018,Adult
672,"Salmonella, serogroup D",1,<0.1,2018,Adult
673,Salmonella enterica subsp. diarizonae,1,<0.1,2018,Adult
674,Salmonella enterica,1,<0.1,2018,Adult
675,Salmonella enterica subsp. enterica,1,<0.1,2018,Adult
676,Serratia odorifera biogroup 1,1,<0.1,2018,Adult
677,Sphingobacterium,1,<0.1,2018,Adult
678,Sphingobacterium spiritivorum,1,<0.1,2018,Adult
679,Sporothrix,1,<0.1,2018,Adult
680,Staphylococcus arlettae,1,<0.1,2018,Adult
681,Staphylococcus carnosus,1,<0.1,2018,Adult
682,Staphylococcus kloosii,1,<0.1,2018,Adult
683,Staphylococcus lentus,1,<0.1,2018,Adult
684,Staphylococcus pasteuri,1,<0.1,2018,Adult
685,Staphylococcus schleiferi ss. schleiferi,1,<0.1,2018,Adult
686,Staphylococcus cohnii sscohnii,1,<0.1,2018,Adult
687,Staphylococcus cohnii subspecies urealyticus,1,<0.1,2018,Adult
688,Staphylococcus vitulinus,1,<0.1,2018,Adult
689,Streptobacillus moniliformis,1,<0.1,2018,Adult
690,Streptobacillus,1,<0.1,2018,Adult
691,Streptococcus canis,1,<0.1,2018,Adult
692,Streptococcus constellatus subspecies pharyngis,1,<0.1,2018,Adult
693,Streptococcus equi,1,<0.1,2018,Adult
694,Streptococcus lutetiensis,1,<0.1,2018,Adult
695,Streptococcus uberis,1,<0.1,2018,Adult
696,Streptococcus equi subsp. zooepidemicus,1,<0.1,2018,Adult
697,Tissierella,1,<0.1,2018,Adult
698,Tsukamurella,1,<0.1,2018,Adult
699,Veillonella atypica,1,<0.1,2018,Adult
700,Weeksella virosa,1,<0.1,2018,Adult
701,Wolinella,1,<0.1,2018,Adult
702,Xenotropic murine leukemia virus-related virus,1,<0.1,2018,Adult
703,Yokenella regensburgei,1,<0.1,2018,Adult
704,Escherichia coli,18193,16.402946454,2019,Adult
705,Staphylococcus aureus,13567,12.232109852,2019,Adult
706,Pseudomonas aeruginosa,8678,7.82415046,2019,Adult
707,Enterococcus faecalis,8644,7.793495803,2019,Adult
708,Klebsiella pneumoniae,6593,5.944298685,2019,Adult
709,Staphylococcus epidermidis,4077,3.675854048,2019,Adult
710,Enterococcus faecium,3872,3.491024497,2019,Adult
711,Candida albicans,3780,3.408076601,2019,Adult
712,Proteus mirabilis,3260,2.939240666,2019,Adult
713,Enterobacter cloacae,2402,2.165661374,2019,Adult
714,"Staphylococcus, coagulase negative",2083,1.878048561,2019,Adult
715,Candida glabrata,1720,1.550765014,2019,Adult
716,Serratia marcescens,1622,1.462407473,2019,Adult
717,Bacteroides fragilis,1487,1.340690451,2019,Adult
718,Klebsiella oxytoca,1480,1.334379198,2019,Adult
719,Enterobacter cloacae complex,1407,1.268561846,2019,Adult
720,Genus Enterococcus,1387,1.250529694,2019,Adult
721,Enterobacter aerogenes,1333,1.201842886,2019,Adult
722,Group B streptococcus,864,0.778988937,2019,Adult
723,Morganella morganii,846,0.762760001,2019,Adult
724,Klebsiella pneumoniae ss. pneumoniae,787,0.709565155,2019,Adult
725,Candida parapsilosis,728,0.656370308,2019,Adult
726,Citrobacter freundii,710,0.640141372,2019,Adult
727,Stenotrophomonas maltophilia,525,0.473343972,2019,Adult
728,"Streptococcus, viridans group",516,0.465229504,2019,Adult
729,Bacteroides thetaiotaomicron,513,0.462524682,2019,Adult
730,Streptococcus anginosus,510,0.459819859,2019,Adult
731,Acinetobacter baumannii,502,0.452606998,2019,Adult
732,Candida tropicalis,487,0.439082885,2019,Adult
733,Staphylococcus lugdunensis,477,0.430066809,2019,Adult
734,Citrobacter koseri,466,0.420149126,2019,Adult
735,Propionibacterium acnes,441,0.397608937,2019,Adult
736,Yeast,439,0.395805722,2019,Adult
737,Enterococcus avium,402,0.362446242,2019,Adult
738,Lactobacillus,379,0.341709268,2019,Adult
739,Streptococcus mitis,324,0.292120851,2019,Adult
740,Corynebacterium,316,0.284907991,2019,Adult
741,Staphylococcus,313,0.282203168,2019,Adult
742,Gram-negative bacillus,292,0.263269409,2019,Adult
743,Bacteroides fragilis group,291,0.262367802,2019,Adult
744,Streptococcus anginosus group,271,0.24433565,2019,Adult
745,Streptococcus mitis group,265,0.238926005,2019,Adult
746,Diphtheroids,257,0.231713145,2019,Adult
747,Gram-positive coccus,234,0.210976171,2019,Adult
748,Haemophilus influenzae,230,0.20736974,2019,Adult
749,Candida dubliniensis,225,0.202861702,2019,Adult
750,Prevotella bivia,223,0.201058487,2019,Adult
751,Finegoldia magna,211,0.190239196,2019,Adult
752,Bacteroides ovatus,209,0.188435981,2019,Adult
753,Enterococcus gallinarum,207,0.186632766,2019,Adult
754,Corynebacterium striatum,206,0.185731159,2019,Adult
755,Staphylococcus haemolyticus,206,0.185731159,2019,Adult
756,Candida krusei,205,0.184829551,2019,Adult
757,Streptococcus,203,0.183026336,2019,Adult
758,Streptococcus constellatus,194,0.174911868,2019,Adult
759,Prevotella,177,0.159584539,2019,Adult
760,Proteus vulgaris,167,0.150568464,2019,Adult
761,Candida,166,0.149666856,2019,Adult
762,Staphylococcus capitis,166,0.149666856,2019,Adult
763,Clostridium perfringens,165,0.148765248,2019,Adult
764,Streptococcus pyogenes,156,0.14065078,2019,Adult
765,Staphylococcus hominis,155,0.139749173,2019,Adult
766,Bacteroides vulgatus,151,0.136142743,2019,Adult
767,Providencia stuartii,139,0.125323452,2019,Adult
768,Klebsiella variicola,138,0.124421844,2019,Adult
769,Bacteroides,137,0.123520237,2019,Adult
770,Streptococcus pneumoniae,136,0.122618629,2019,Adult
771,Clostridium,132,0.119012199,2019,Adult
772,Gram-positive bacillus,131,0.118110591,2019,Adult
773,Alpha-hemolytic streptococcus,126,0.113602553,2019,Adult
774,Klebsiella,118,0.106389693,2019,Adult
775,Eggerthella lenta,113,0.101881655,2019,Adult
776,Streptococcus intermedius,110,0.099176832,2019,Adult
777,Granulicatella adiacens,109,0.098275225,2019,Adult
778,Propionibacterium,109,0.098275225,2019,Adult
779,Clostridium innocuum,107,0.09647201,2019,Adult
780,Candida lusitaniae,101,0.091062364,2019,Adult
781,Enterococcus raffinosus,101,0.091062364,2019,Adult
782,Rothia mucilaginosa,100,0.090160757,2019,Adult
783,Haemophilus parainfluenzae,99,0.089259149,2019,Adult
784,Pseudomonas,99,0.089259149,2019,Adult
785,Citrobacter braakii,97,0.087455934,2019,Adult
786,Fusobacterium nucleatum,94,0.084751111,2019,Adult
787,Bacillus,93,0.083849504,2019,Adult
788,Beta-hemolytic streptococcus,91,0.082046289,2019,Adult
789,Peptostreptococcus,90,0.081144681,2019,Adult
790,Clostridium ramosum,89,0.080243073,2019,Adult
791,Citrobacter amalonaticus,88,0.079341466,2019,Adult
792,Anaerobe,86,0.077538251,2019,Adult
793,Actinomyces,81,0.073030213,2019,Adult
794,Acinetobacter,79,0.071226998,2019,Adult
795,Parabacteroides distasonis,76,0.068522175,2019,Adult
796,Gemella haemolysans,76,0.068522175,2019,Adult
797,Hafnia alvei,76,0.068522175,2019,Adult
798,Enterobacter,75,0.067620567,2019,Adult
799,"Streptococcus, group G",74,0.06671896,2019,Adult
800,Clostridium tertium,72,0.064915745,2019,Adult
801,Proteus,70,0.06311253,2019,Adult
802,"Streptococcus, group C",70,0.06311253,2019,Adult
803,Clostridium clostridioforme,68,0.0613093,2019,Adult
804,Gardnerella vaginalis,68,0.0613093,2019,Adult
805,Actinomyces odontolyticus,65,0.0586045,2019,Adult
806,Bacteroides uniformis,63,0.0568013,2019,Adult
807,Eikenella corrodens,63,0.0568013,2019,Adult
808,Lactobacillus rhamnosus,62,0.0558997,2019,Adult
809,Proteus penneri,62,0.0558997,2019,Adult
810,Anaerobic Gram-negative bacillus,60,0.0540965,2019,Adult
811,Anaerobic Gram-positive coccus,60,0.0540965,2019,Adult
812,Citrobacter,60,0.0540965,2019,Adult
813,Raoultella ornithinolytica,60,0.0540965,2019,Adult
814,Staphylococcus simulans,60,0.0540965,2019,Adult
815,Streptococcus dysgalactiae,60,0.0540965,2019,Adult
816,Bacteroides caccae,59,0.0531948,2019,Adult
817,Prevotella buccae,59,0.0531948,2019,Adult
818,Prevotella melaninogenica,59,0.0531948,2019,Adult
819,Clostridium difficile,58,0.0522932,2019,Adult
820,Achromobacter xylosoxidans,52,<0.1,2019,Adult
821,Escherichia,52,<0.1,2019,Adult
822,Peptostreptococcus asaccharolyticus,52,<0.1,2019,Adult
823,Streptococcus oralis,52,<0.1,2019,Adult
824,Enterococcus casseliflavus,51,<0.1,2019,Adult
825,Providencia rettgeri,51,<0.1,2019,Adult
826,Acinetobacter calcoaceticus-Acinetobacter baumannii complex,50,<0.1,2019,Adult
827,Pseudomonas putida,50,<0.1,2019,Adult
828,Saccharomyces cerevisiae,49,<0.1,2019,Adult
829,Fusobacterium,48,<0.1,2019,Adult
830,Peptoniphilus asaccharolyticus,48,<0.1,2019,Adult
831,Peptostreptococcus anaerobius,48,<0.1,2019,Adult
832,Burkholderia cepacia,47,<0.1,2019,Adult
833,Staphylococcus hominis hominis,46,<0.1,2019,Adult
834,Streptococcus parasanguinis,46,<0.1,2019,Adult
835,Citrobacter youngae,45,<0.1,2019,Adult
836,Aerococcus urinae,44,<0.1,2019,Adult
837,Raoultella planticola,44,<0.1,2019,Adult
838,Staphylococcus warneri,44,<0.1,2019,Adult
839,Anaerobic Gram-positive bacillus,42,<0.1,2019,Adult
840,Klebsiella pneumoniae ss. ozaenae,42,<0.1,2019,Adult
841,Pantoea agglomerans,42,<0.1,2019,Adult
842,Prevotella denticola,42,<0.1,2019,Adult
843,"Clostridium species, not Clostridium perfringens",41,<0.1,2019,Adult
844,Streptococcus salivarius,41,<0.1,2019,Adult
845,Bifidobacterium,40,<0.1,2019,Adult
846,"Staphylococcus, coagulase positive",40,<0.1,2019,Adult
847,Candida auris,39,<0.1,2019,Adult
848,Citrobacter farmeri,37,<0.1,2019,Adult
849,Corynebacterium amycolatum,36,<0.1,2019,Adult
850,Pantoea,36,<0.1,2019,Adult
851,Clostridium septicum,34,<0.1,2019,Adult
852,"Streptococcus, group F",34,<0.1,2019,Adult
853,Enterobacter hormaechei,33,<0.1,2019,Adult
854,Streptococcus sanguinis,32,<0.1,2019,Adult
855,Veillonella,32,<0.1,2019,Adult
856,Candida guilliermondii,31,<0.1,2019,Adult
857,Moraxella catarrhalis,31,<0.1,2019,Adult
858,Sphingomonas paucimobilis,31,<0.1,2019,Adult
859,Streptococcus salivarius group,31,<0.1,2019,Adult
860,Acinetobacter lwoffi,30,<0.1,2019,Adult
861,Enterococcus durans,30,<0.1,2019,Adult
862,"Escherichia coli, inactive",30,<0.1,2019,Adult
863,Peptoniphilus harei,30,<0.1,2019,Adult
864,Pseudomonas stutzeri,30,<0.1,2019,Adult
865,Staphylococcus pseudintermedius,30,<0.1,2019,Adult
866,Candida stellatoidea,29,<0.1,2019,Adult
867,Propionibacterium avidum,29,<0.1,2019,Adult
868,Rothia,29,<0.1,2019,Adult
869,"Beta-hemolytic streptococcus, non-Group A, non-Group B",29,<0.1,2019,Adult
870,Streptococcus gordonii,29,<0.1,2019,Adult
871,Leptotrichia,28,<0.1,2019,Adult
872,Veillonella parvula,28,<0.1,2019,Adult
873,Actinomyces neuii,27,<0.1,2019,Adult
874,Actinomyces turicensis,27,<0.1,2019,Adult
875,gamma-hemolytic streptococcus,27,<0.1,2019,Adult
876,Mycobacterium abscessus,27,<0.1,2019,Adult
877,Candida kefyr,26,<0.1,2019,Adult
878,Staphylococcus caprae,26,<0.1,2019,Adult
879,Coryneform bacteria,25,<0.1,2019,Adult
880,Enterobacter asburiae,25,<0.1,2019,Adult
881,Gemella morbillorum,24,<0.1,2019,Adult
882,Gemella,24,<0.1,2019,Adult
883,Pasteurella multocida,24,<0.1,2019,Adult
884,Bacillus species not Bacillus anthracis,23,<0.1,2019,Adult
885,Bacillus cereus,23,<0.1,2019,Adult
886,Micrococcus,23,<0.1,2019,Adult
887,Parvimonas micra,23,<0.1,2019,Adult
888,Proteus hauseri,23,<0.1,2019,Adult
889,Achromobacter,22,<0.1,2019,Adult
890,Enterobacteriaceae,22,<0.1,2019,Adult
891,Fermentative Gram-negative bacillus,21,<0.1,2019,Adult
892,Prevotella disiens,21,<0.1,2019,Adult
893,Serratia liquefaciens,21,<0.1,2019,Adult
894,Prevotella oralis,20,<0.1,2019,Adult
895,"Streptococcus, group D",19,<0.1,2019,Adult
896,Neisseria,19,<0.1,2019,Adult
897,Prevotella loescheii,19,<0.1,2019,Adult
898,Streptococcus gallolyticus,19,<0.1,2019,Adult
899,Achromobacter denitrificans,18,<0.1,2019,Adult
900,Burkholderia cepacia complex,18,<0.1,2019,Adult
901,Mycoplasma hominis,18,<0.1,2019,Adult
902,Peptostreptococcus asaccharolyticus,18,<0.1,2019,Adult
903,Propionibacterium granulosum,18,<0.1,2019,Adult
904,Staphylococcus schleiferi,18,<0.1,2019,Adult
905,Stenotrophomonas,18,<0.1,2019,Adult
906,"Beta-hemolytic Streptococcus, group A",18,<0.1,2019,Adult
907,Streptococcus bovis group,18,<0.1,2019,Adult
908,Anaerococcus prevotii,17,<0.1,2019,Adult
909,Enterococcus hirae,17,<0.1,2019,Adult
910,Prevotella oris,17,<0.1,2019,Adult
911,Streptococcus dysgalactiae subsp. equisimilis,17,<0.1,2019,Adult
912,Trichosporon asahii,17,<0.1,2019,Adult
913,Candida famata,16,<0.1,2019,Adult
914,Capnocytophaga,16,<0.1,2019,Adult
915,Corynebacterium jeikeium,16,<0.1,2019,Adult
916,Staphylococcus saccharolyticus,16,<0.1,2019,Adult
917,Abiotrophia defectiva,16,<0.1,2019,Adult
918,Aeromonas,15,<0.1,2019,Adult
919,Aeromonas hydrophila,15,<0.1,2019,Adult
920,Alpha-hemolytic Streptococcus species not Streptococcus pneumoniae,15,<0.1,2019,Adult
921,Aspergillus fumigatus,15,<0.1,2019,Adult
922,Corynebacterium species not Corynebacterium jeikeium,15,<0.1,2019,Adult
923,Non-fermentative Gram-negative bacillus,15,<0.1,2019,Adult
924,Peptoniphilus,15,<0.1,2019,Adult
925,Acinetobacter radioresistens,14,<0.1,2019,Adult
926,Anaerococcus,14,<0.1,2019,Adult
927,Capnocytophaga sputigena,14,<0.1,2019,Adult
928,Chryseobacterium indologenes,14,<0.1,2019,Adult
929,Clostridium paraputrificum,14,<0.1,2019,Adult
930,Coliform bacteria,14,<0.1,2019,Adult
931,Eggerthella,14,<0.1,2019,Adult
932,Pluralibacter gergoviae,14,<0.1,2019,Adult
933,Peptostreptococcus micros,14,<0.1,2019,Adult
934,Salmonella,14,<0.1,2019,Adult
935,Staphylococcus intermedius,14,<0.1,2019,Adult
936,Trueperella bernardiae,14,<0.1,2019,Adult
937,Acinetobacter calcoaceticus,13,<0.1,2019,Adult
938,Bacteroides stercoris,13,<0.1,2019,Adult
939,Elizabethkingia meningoseptica,13,<0.1,2019,Adult
940,Lactobacillus casei,13,<0.1,2019,Adult
941,Morganella morganii subsp sibonii,13,<0.1,2019,Adult
942,Prevotella intermedia,13,<0.1,2019,Adult
943,Aerobic bacteria,12,<0.1,2019,Adult
944,Corynebacterium tuberculostearicum,12,<0.1,2019,Adult
945,Leclercia adecarboxylata,12,<0.1,2019,Adult
946,Ochrobactrum anthropi,12,<0.1,2019,Adult
947,Pseudomonas oryzihabitans,12,<0.1,2019,Adult
948,Serratia,12,<0.1,2019,Adult
949,Acinetobacter haemolyticus,11,<0.1,2019,Adult
950,Achromobacter xylosoxidans xylosoxidans,11,<0.1,2019,Adult
951,Bacteroides eggerthii,11,<0.1,2019,Adult
952,Citrobacter sedlakii,11,<0.1,2019,Adult
953,Clostridium subterminale,11,<0.1,2019,Adult
954,Delftia acidovorans,11,<0.1,2019,Adult
955,Fusobacterium necrophorum,11,<0.1,2019,Adult
956,Haemophilus,11,<0.1,2019,Adult
957,Leptotrichia buccalis,11,<0.1,2019,Adult
958,Rhodotorula rubra,11,<0.1,2019,Adult
959,Staphylococcus auricularis,11,<0.1,2019,Adult
960,Aerococcus,10,<0.1,2019,Adult
961,Candida lipolytica,10,<0.1,2019,Adult
962,Clostridium cadaveris,10,<0.1,2019,Adult
963,Enterobacter cancerogenus,10,<0.1,2019,Adult
964,Lactobacillus paracasei,10,<0.1,2019,Adult
965,Mycobacterium fortuitum,10,<0.1,2019,Adult
966,Pseudomonas mendocina,10,<0.1,2019,Adult
967,Staphylococcus capitis subspecies urealyticus,10,<0.1,2019,Adult
968,Small-colony-forming beta-hemolytic group C streptococci,10,<0.1,2019,Adult
969,Anaerococcus vaginalis,9,<0.1,2019,Adult
970,Candida guilliermondii var membranaefaciens,9,<0.1,2019,Adult
971,Clostridium butyricum,9,<0.1,2019,Adult
972,Eubacterium limosum,9,<0.1,2019,Adult
973,Fusobacterium mortiferum,9,<0.1,2019,Adult
974,Granulicatella,9,<0.1,2019,Adult
975,Micrococcus luteus,9,<0.1,2019,Adult
976,Parabacteroides,9,<0.1,2019,Adult
977,"Serratia marcescens, Biogroup I",9,<0.1,2019,Adult
978,Streptococcus anginosus-constellatus,9,<0.1,2019,Adult
979,Small-colony-forming beta-hemolytic group G streptococci,9,<0.1,2019,Adult
980,Streptococcus vestibularis,9,<0.1,2019,Adult
981,Actinomyces europaeus,8,<0.1,2019,Adult
982,Aspergillus,8,<0.1,2019,Adult
983,Chryseomonas luteola,8,<0.1,2019,Adult
984,Clostridium sordellii,8,<0.1,2019,Adult
985,Dermabacter hominis,8,<0.1,2019,Adult
986,Eubacterium,8,<0.1,2019,Adult
987,Finegoldia,8,<0.1,2019,Adult
988,Fusobacterium varium,8,<0.1,2019,Adult
989,Gardnerella,8,<0.1,2019,Adult
990,Gram-positive diplococcus,8,<0.1,2019,Adult
991,Lactobacillus acidophilus,8,<0.1,2019,Adult
992,Lactobacillus gasseri,8,<0.1,2019,Adult
993,Pediococcus acidilactici,8,<0.1,2019,Adult
994,Staphylococcus capitis ss capitis,8,<0.1,2019,Adult
995,Staphylococcus saprophyticus,8,<0.1,2019,Adult
996,Streptococcus canis,8,<0.1,2019,Adult
997,Streptococcus gallolyticus subspecies pasteurianus,8,<0.1,2019,Adult
998,Acinetobacter ursingii,7,<0.1,2019,Adult
999,Acinetobacter junii,7,<0.1,2019,Adult
1000,Citrobacter murliniae,7,<0.1,2019,Adult
1001,Clostridium bifermentans,7,<0.1,2019,Adult
1002,Clostridium sporogenes,7,<0.1,2019,Adult
1003,Corynebacterium diphtheriae,7,<0.1,2019,Adult
1004,Enterobacter amnigenus,7,<0.1,2019,Adult
1005,Fusarium,7,<0.1,2019,Adult
1006,Fusobacterium nucleatum ss nucleatum,7,<0.1,2019,Adult
1007,Gram-negative coccus,7,<0.1,2019,Adult
1008,Kluyvera ascorbata,7,<0.1,2019,Adult
1009,Moraxella osloensis,7,<0.1,2019,Adult
